AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.234,60,232,184,30,43,6,2,0,53,12,11,1,33,0,3,50,5,0.288,0.357,0.143,10,0.645,
0.2,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0,0,0.4,
0.226,50,141,124,13,28,8,1,3,47,19,1,1,8,0,7,41,3,0.379,0.307,0.25,6,0.686,
0.244,51,153,127,20,31,1,0,0,32,15,2,0,23,0,1,14,1,0.252,0.364,0.375,7,0.616,
0.31,55,232,197,44,61,9,0,17,121,47,0,4,31,3,0,30,6,0.614,0.397,0.309,17,1.011,
0.224,58,201,174,23,39,10,0,6,67,26,5,4,15,0,3,51,1,0.385,0.291,0.265,10,0.676,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.234,27,49,47,8,11,1,0,3,21,4,1,0,1,0,0,20,0,0.447,0.25,0.231,1,0.697,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.25,27,54,40,9,10,1,0,2,17,4,0,0,9,0,5,12,0,0.425,0.444,0.1,2,0.869,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.316,50,21,19,17,6,2,0,0,8,1,0,1,0,0,1,4,1,0.421,0.333,0.25,0,0.754,
0.2,12,28,25,2,5,2,0,0,7,2,0,1,2,0,0,5,1,0.28,0.25,0.143,1,0.53,
0.269,38,169,134,24,36,3,0,1,42,15,2,3,24,0,6,35,4,0.313,0.395,0.188,8,0.708,
0.265,54,198,155,22,41,12,0,3,62,16,3,0,33,0,7,31,4,0.4,0.415,0.209,12,0.815,
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0.077,9,13,13,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0.077,0.077,0,0,0.154,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.6,4,5,5,1,3,0,0,0,3,0,0,0,0,0,0,2,0,0.6,0.6,0,1,1.2,
0.233,56,236,202,36,47,6,2,4,69,19,3,1,25,0,5,42,5,0.342,0.33,0.205,9,0.672,
0.32,24,29,25,6,8,0,0,0,8,2,1,0,1,0,2,2,1,0.32,0.393,0.375,1,0.713,
0.238,44,145,130,17,31,3,1,11,69,30,1,1,13,0,0,45,1,0.531,0.306,0.317,7,0.837,
0.179,55,189,168,22,30,7,1,5,54,14,1,0,14,0,6,40,2,0.321,0.266,0.182,8,0.587,
0.314,36,136,118,19,37,6,0,9,70,30,0,5,10,0,3,37,4,0.593,0.368,0.297,11,0.961,
0.208,36,67,53,6,11,4,1,0,17,4,5,0,6,0,3,9,2,0.321,0.323,0.222,2,0.644,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.295,37,131,112,11,33,8,0,1,44,18,0,2,15,0,2,18,1,0.393,0.382,0.333,9,0.775,
0.303,51,203,175,29,53,11,5,0,74,21,1,0,20,2,7,31,1,0.423,0.396,0.4,15,0.819,
0.13,30,59,54,5,7,1,0,2,14,7,0,1,4,0,0,20,3,0.259,0.186,0.158,1,0.445,
0.205,37,50,44,11,9,2,0,1,14,2,1,0,5,0,0,15,0,0.318,0.286,0.2,0,0.604,
0.25,14,5,4,8,1,0,0,0,1,1,0,0,1,0,0,2,0,0.25,0.4,1,0,0.65,
0.118,8,19,17,2,2,0,0,2,8,3,0,0,2,0,0,8,0,0.471,0.211,0.25,0,0.682,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.294,39,115,102,6,30,4,0,1,37,12,5,2,4,0,2,17,2,0.363,0.327,0.308,5,0.69,
0.32,47,168,150,15,48,9,3,0,63,24,1,1,16,2,0,22,1,0.42,0.383,0.354,12,0.803,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.143,8,7,7,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0.143,0.143,0,0,0.286,
0.059,9,20,17,1,1,1,0,0,2,4,0,0,2,0,1,3,0,0.118,0.2,0.143,0,0.318,
0.25,13,35,32,2,8,1,0,2,15,8,0,0,3,0,0,13,0,0.469,0.314,0.25,2,0.783,
0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0.263,54,135,118,22,31,3,2,3,47,14,2,2,9,0,4,26,0,0.398,0.331,0.222,7,0.729,
0.25,22,35,28,7,7,1,0,0,8,2,2,0,2,0,3,5,0,0.286,0.364,0.2,3,0.65,
0.224,35,103,85,15,19,4,0,3,32,17,4,1,8,0,5,17,1,0.376,0.323,0.304,6,0.699,
0.185,16,31,27,2,5,0,0,0,5,4,0,0,2,0,2,14,0,0.185,0.29,0.3,0,0.475,
0.27,56,211,196,17,53,10,1,7,86,30,0,4,10,0,1,42,4,0.439,0.303,0.246,18,0.742,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.229,31,86,70,11,16,2,0,1,21,7,4,1,11,0,0,10,2,0.3,0.329,0.235,1,0.629,
0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0.091,0.167,0,0,0.258,
0.172,18,33,29,2,5,0,0,0,5,1,1,0,2,0,1,6,2,0.172,0.25,0.167,0,0.422,
,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.203,22,80,74,8,15,3,0,4,30,11,0,0,5,2,1,28,2,0.405,0.263,0.261,4,0.668,
0.221,57,239,199,27,44,10,0,3,63,18,2,1,35,1,2,47,1,0.317,0.342,0.217,7,0.659,
0.167,18,54,48,3,8,0,0,0,8,4,2,1,3,0,0,16,1,0.167,0.212,0.214,1,0.379,
0.222,7,10,9,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0.222,0.3,0.5,0,0.522,
0.19,20,27,21,1,4,0,0,1,7,3,0,0,5,0,1,4,0,0.333,0.37,0.2,0,0.703,
0.288,37,87,80,14,23,3,1,0,28,3,1,0,6,0,0,31,1,0.35,0.337,0.235,8,0.687,
0.286,15,66,56,6,16,1,0,1,20,7,0,1,8,2,1,8,2,0.357,0.379,0.389,3,0.736,
0.188,48,121,101,12,19,4,0,2,29,13,3,0,16,0,1,34,1,0.287,0.305,0.179,7,0.592,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
0.253,29,95,87,7,22,3,1,1,30,7,2,1,4,0,1,8,2,0.345,0.29,0.103,7,0.635,
0.22,57,201,173,25,38,5,1,0,45,12,5,0,23,0,0,46,3,0.26,0.311,0.24,7,0.571,
0.5,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0.5,0,0,1.5,
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.252,38,116,107,10,27,1,0,2,34,12,1,1,5,0,2,18,1,0.318,0.296,0.29,4,0.614,
0.192,18,30,26,3,5,1,1,0,8,6,0,1,3,0,0,8,1,0.308,0.267,0.25,1,0.575,
0.143,23,9,7,5,1,0,0,0,1,1,0,0,1,0,1,5,0,0.143,0.333,0,0,0.476,
0.213,27,115,94,19,20,3,0,9,50,26,0,1,16,2,4,26,5,0.532,0.348,0.292,5,0.88,
0.208,46,134,101,15,21,0,0,3,30,21,2,4,25,0,2,32,1,0.297,0.364,0.323,4,0.661,
0.296,59,258,233,33,69,9,3,2,90,20,1,4,18,1,2,44,0,0.386,0.346,0.229,19,0.732,
0.167,8,25,24,2,4,0,0,1,7,3,0,0,1,0,0,12,0,0.292,0.2,0.25,0,0.492,
0.265,57,221,196,24,52,14,0,4,78,27,1,0,22,2,2,55,1,0.398,0.345,0.298,15,0.743,
0.15,7,23,20,1,3,1,0,0,4,3,0,0,3,0,0,8,0,0.2,0.261,0.333,0,0.461,
